# OpenSignals Text File Format
# {"00:80:E1:26:9E:1A":{"sensor":["ECG"],"device name":"00:80:E1:26:9E:1A","column":["nSeq","ECG"],"sync interval":2,"time":"13:28:32","comments":"","keywords":"","device connection":"UNKNOWN00:80:E1:26:9E:1A","channels":[0],"date":"2025-06-10","mode":0,"digital IO":[],"firmware version":256,"device":"cardiobanplux","position":0,"sampling rate":1000,"label":["ECG"],"resolution":[16],"special":[{}],"sleeve color":["UNKNOWN"]}}
# EndOfHeader
0	40571	
1	39995	
2	39495	
3	39055	
4	38616	
5	38120	
6	37555	
7	36963	
8	36413	
9	35959	
10	35608	
11	35332	
12	35097	
13	34885	
14	34699	
15	34535	
16	34365	
17	34140	
18	33817	
19	33403	
20	32968	
21	32612	
22	32416	
23	32379	
24	32423	
25	32437	
26	32349	
27	32173	
28	31993	
29	31901	
30	31927	
31	32023	
32	32098	
33	32086	
34	31987	
35	31865	
36	31795	
37	31808	
38	31874	
39	31931	
40	31928	
41	31865	
42	31783	
43	31732	
44	31732	
45	31763	
46	31780	
47	31755	
48	31691	
49	31624	
50	31593	
51	31611	
52	31661	
53	31700	
54	31700	
55	31656	
56	31591	
57	31539	
58	31519	
59	31526	
60	31538	
61	31538	
62	31520	
63	31497	
64	31484	
65	31488	
66	31504	
67	31519	
68	31525	
69	31522	
70	31520	
71	31523	
72	31532	
73	31539	
74	31535	
75	31519	
76	31497	
77	31479	
78	31471	
79	31472	
80	31476	
81	31477	
82	31475	
83	31473	
84	31472	
85	31474	
86	31475	
87	31472	
88	31464	
89	31454	
90	31449	
91	31451	
92	31457	
93	31463	
94	31458	
95	31441	
96	31416	
97	31392	
98	31379	
99	31383	
100	31399	
101	31419	
102	31433	
103	31435	
104	31427	
105	31415	
106	31406	
107	31405	
108	31411	
109	31417	
110	31418	
111	31409	
112	31395	
113	31384	
114	31386	
115	31406	
116	31435	
117	31460	
118	31468	
119	31455	
120	31431	
121	31410	
122	31400	
123	31398	
124	31393	
125	31375	
126	31343	
127	31308	
128	31283	
129	31277	
130	31288	
131	31308	
132	31330	
133	31347	
134	31360	
135	31367	
136	31366	
137	31355	
138	31332	
139	31299	
140	31265	
141	31236	
142	31216	
143	31202	
144	31189	
145	31173	
146	31158	
147	31151	
148	31158	
149	31177	
150	31198	
151	31208	
152	31201	
153	31178	
154	31150	
155	31126	
156	31112	
157	31109	
158	31112	
159	31117	
160	31120	
161	31118	
162	31113	
163	31104	
164	31094	
165	31085	
166	31077	
167	31067	
168	31051	
169	31030	
170	31009	
171	30995	
172	30997	
173	31018	
174	31053	
175	31090	
176	31115	
177	31116	
178	31091	
179	31048	
180	31006	
181	30980	
182	30977	
183	30991	
184	31006	
185	31008	
186	30992	
187	30966	
188	30944	
189	30938	
190	30946	
191	30959	
192	30968	
193	30968	
194	30961	
195	30950	
196	30933	
197	30908	
198	30877	
199	30848	
200	30836	
201	30848	
202	30880	
203	30915	
204	30938	
205	30946	
206	30945	
207	30945	
208	30948	
209	30950	
210	30944	
211	30926	
212	30903	
213	30887	
214	30882	
215	30882	
216	30875	
217	30853	
218	30821	
219	30792	
220	30778	
221	30780	
222	30787	
223	30788	
224	30781	
225	30771	
226	30767	
227	30775	
228	30790	
229	30805	
230	30816	
231	30821	
232	30823	
233	30820	
234	30809	
235	30782	
236	30741	
237	30696	
238	30664	
239	30659	
240	30684	
241	30727	
242	30768	
243	30788	
244	30787	
245	30777	
246	30777	
247	30796	
248	30831	
249	30866	
250	30886	
251	30886	
252	30873	
253	30862	
254	30862	
255	30874	
256	30893	
257	30916	
258	30941	
259	30970	
260	31002	
261	31036	
262	31067	
263	31093	
264	31112	
265	31122	
266	31124	
267	31119	
268	31109	
269	31099	
270	31098	
271	31113	
272	31145	
273	31191	
274	31237	
275	31269	
276	31281	
277	31273	
