# OpenSignals Text File Format
# {"00:80:E1:26:9E:1A":{"sensor":["ECG"],"device name":"00:80:E1:26:9E:1A","column":["nSeq","ECG"],"sync interval":2,"time":"17:14:04","comments":"","keywords":"","device connection":"BLE00:80:E1:26:9E:1A","channels":[0],"date":"2025-06-03","mode":0,"digital IO":[],"firmware version":256,"device":"cardiobanplux","position":0,"sampling rate":1000,"label":["ECG"],"resolution":[16],"special":[{}],"sleeve color":["UNKNOWN"]}}
# EndOfHeader
0	2991	
1	2752	
2	2793	
3	3146	
4	3616	
5	3922	
6	3913	
7	3673	
8	3440	
9	3409	
10	3591	
11	3836	
12	3995	
13	4059	
14	4148	
15	4374	
16	4697	
17	4932	
18	4903	
19	4610	
20	4265	
21	4144	
22	4363	
23	4774	
24	5069	
25	5015	
26	4630	
27	4168	
28	3921	
29	4014	
30	4339	
31	4661	
32	4807	
33	4757	
34	4610	
35	4467	
36	4356	
37	4245	
38	4113	
39	3993	
40	3950	
41	4011	
42	4140	
43	4265	
44	4343	
45	4390	
46	4456	
47	4569	
48	4702	
49	4802	
50	4826	
51	4782	
52	4722	
53	4710	
54	4780	
55	4920	
56	5069	
57	5159	
58	5161	
59	5110	
60	5087	
61	5145	
62	5259	
63	5331	
64	5267	
65	5067	
66	4843	
67	4745	
68	4859	
69	5138	
70	5422	
71	5547	
72	5444	
73	5187	
74	4934	
75	4823	
76	4881	
77	5003	
78	5037	
79	4889	
80	4603	
81	4336	
82	4251	
83	4404	
84	4705	
85	4979	
86	5088	
87	5023	
88	4898	
89	4867	
90	5014	
91	5297	
92	5595	
93	5794	
94	5866	
95	5865	
96	5876	
97	5936	
98	6018	
99	6071	
100	6075	
101	6065	
102	6099	
103	6201	
104	6330	
105	6416	
106	6419	
107	6363	
108	6326	
109	6370	
110	6498	
111	6654	
112	6771	
113	6836	
114	6889	
115	6990	
116	7149	
117	7303	
118	7351	
119	7230	
120	6964	
121	6660	
122	6438	
123	6353	
124	6374	
125	6426	
126	6459	
127	6486	
128	6550	
129	6666	
130	6780	
131	6800	
132	6675	
133	6449	
134	6247	
135	6189	
136	6308	
137	6520	
138	6693	
139	6743	
140	6697	
141	6654	
142	6701	
143	6839	
144	6993	
145	7082	
146	7091	
147	7089	
148	7168	
149	7365	
150	7611	
151	7773	
152	7751	
153	7569	
154	7370	
155	7329	
156	7514	
157	7837	
158	8110	
159	8183	
160	8043	
161	7804	
162	7620	
163	7579	
164	7662	
165	7783	
166	7864	
167	7891	
168	7917	
169	8006	
170	8168	
171	8345	
172	8448	
173	8433	
174	8341	
175	8275	
176	8321	
177	8489	
178	8693	
179	8824	
180	8820	
181	8715	
182	8607	
183	8581	
184	8642	
185	8720	
186	8738	
187	8685	
188	8629	
189	8651	
190	8763	
191	8890	
192	8929	
193	8852	
194	8728	
195	8676	
196	8763	
197	8952	
198	9138	
199	9220	
200	9173	
201	9045	
202	8908	
203	8813	
204	8766	
205	8761	
206	8798	
207	8887	
208	9026	
209	9177	
210	9266	
211	9218	
212	9005	
213	8683	
214	8377	
215	8240	
216	8371	
217	8753	
218	9243	
219	9638	
220	9788	
221	9683	
222	9447	
223	9241	
224	9144	
225	9113	
226	9043	
227	8882	
228	8690	
229	8597	
230	8683	
231	8902	
232	9113	
233	9191	
234	9131	
235	9038	
236	9024	
237	9111	
238	9213	
239	9234	
240	9166	
241	9100	
242	9149	
243	9335	
244	9562	
245	9693	
246	9663	
247	9523	
248	9399	
249	9378	
250	9445	
251	9501	
252	9461	
253	9334	
254	9217	
255	9204	
256	9285	
257	9341	
258	9237	
259	8952	
260	8625	
261	8468	
262	8603	
263	8969	
264	9356	
265	9573	
266	9585	
267	9527	
268	9563	
269	9730	
270	9895	
271	9870	
272	9588	
273	9183	
274	8904	
275	8919	
276	9182	
277	9474	
278	9578	
279	9449	
280	9233	
281	9142	
282	9270	
283	9525	
284	9693	
285	9614	
286	9293	
287	8903	
288	8651	
289	8643	
290	8833	
291	9090	
292	9320	
293	9518	
294	9733	
295	9979	
296	10190	
297	10261	
298	10148	
299	9922	
300	9738	
301	9728	
302	9895	
303	10108	
304	10189	
305	10044	
306	9741	
307	9456	
308	9355	
309	9467	
310	9664	
311	9764	
312	9668	
313	9442	
314	9267	
315	9302	
316	9567	
317	9927	
318	10188	
319	10232	
320	10094	
321	9917	
322	9828	
323	9844	
324	9879	
325	9855	
326	9793	
327	9801	
328	9947	
329	10155	
330	10229	
331	10008	
332	9537	
333	9079	
334	8944	
335	9265	
336	9889	
337	10486	
338	10779	
339	10721	
340	10487	
341	10304	
342	10272	
343	10324	
344	10325	
345	10225	
346	10108	
347	10105	
348	10265	
349	10495	
350	10630	
351	10571	
352	10366	
353	10176	
354	10148	
355	10298	
356	10513	
357	10649	
358	10658	
359	10617	
360	10650	
361	10806	
362	11000	
363	11083	
364	10970	
365	10729	
366	10544	
367	10579	
368	10856	
369	11239	
370	11543	
371	11665	
372	11650	
373	11627	
374	11699	
375	11859	
376	12015	
377	12070	
378	12003	
379	11872	
380	11762	
381	11726	
382	11757	
383	11820	
384	11885	
385	11949	
386	12018	
387	12086	
388	12132	
389	12140	
390	12112	
391	12070	
392	12041	
393	12035	
394	12050	
395	12082	
396	12132	
397	12203	
398	12287	
399	12358	
400	12391	
401	12383	
402	12352	
403	12325	
404	12300	
